Date,Priority 1,Priority 2,Priority 3,Immediate
2025-01-28 ,91,141,202,7
2025-01-29 ,84,148,205,6
2025-01-30 ,89,146,205,15
2025-01-31 ,62,166,206,25
2025-02-01 ,65,176,206,30
2025-02-02 ,66,176,206,32
2025-02-03 ,60,176,206,29
2025-02-04 ,56,191,207,35
2025-02-05 ,55,190,208,38
2025-02-06 ,53,195,211,40
2025-02-07 ,50,207,218,35
2025-02-08 ,50,210,200,41
2025-02-09 ,50,200,221,42
2025-02-10 ,57,202,212,46
2025-02-11 ,54,209,209,49
2025-02-12 ,50,210,208,45
2025-02-13 ,55,221,201,39
2025-02-14 ,51,214,200,47
2025-02-17 ,55,231,205,47
2025-02-18 ,57,237,201,49
2025-02-19 ,59,242,198,50
2025-02-20 ,64,254,196,51
2025-02-21 ,75,262,191,53
2025-02-24 ,76,256,190,53
2025-02-25 ,71,257,189,55
2025-02-26 ,73,257,190,55
2025-02-27 ,70,257,188,54
2025-02-28 ,74,248,187,57
2025-03-03 ,75,256,172,60
2025-03-04 ,77,248,170,65
2025-03-05 ,80,246,165,67
2025-03-06 ,77,258,155,70
2025-03-07 ,90,276,126,68
